start_time,end_time,mem_used
11 Oct 19:15:26.077,11 Oct 19:15:26.478,0MB
11 Oct 19:20:27.058,11 Oct 19:20:27.159,0MB
11 Oct 19:25:28.029,11 Oct 19:25:28.130,0MB
11 Oct 19:30:29.007,11 Oct 19:30:29.207,0MB
11 Oct 19:35:30.077,11 Oct 19:35:30.178,0MB
11 Oct 19:40:31.037,11 Oct 19:40:31.238,0MB
11 Oct 19:45:32.052,11 Oct 19:45:32.254,0MB
11 Oct 19:50:33.037,11 Oct 19:50:33.238,0MB
11 Oct 19:55:34.054,11 Oct 19:55:34.155,0MB
11 Oct 20:00:35.033,11 Oct 20:00:35.234,0MB
11 Oct 20:05:36.024,11 Oct 20:05:36.225,0MB
11 Oct 20:10:37.086,11 Oct 20:10:37.287,0MB
11 Oct 20:15:38.053,11 Oct 20:15:38.154,0MB
11 Oct 20:20:39.019,11 Oct 20:20:39.120,0MB
11 Oct 20:25:40.080,11 Oct 20:25:40.181,0MB
11 Oct 20:30:41.066,11 Oct 20:30:41.266,0MB
11 Oct 20:35:42.028,11 Oct 20:35:42.129,0MB
11 Oct 20:40:43.074,11 Oct 20:40:43.276,0MB
11 Oct 20:45:44.026,11 Oct 20:45:44.128,0MB
11 Oct 20:50:45.003,11 Oct 20:50:45.207,0MB
11 Oct 20:55:46.091,11 Oct 20:55:46.192,0MB
11 Oct 21:00:47.091,11 Oct 21:00:47.292,0MB
11 Oct 21:05:48.048,11 Oct 21:05:48.148,0MB
11 Oct 21:10:49.035,11 Oct 21:10:49.136,0MB
11 Oct 21:15:50.052,11 Oct 21:15:50.252,0MB
11 Oct 21:20:51.021,11 Oct 21:20:51.222,0MB
11 Oct 21:25:52.072,11 Oct 21:25:52.173,0MB
11 Oct 21:30:53.055,11 Oct 21:30:53.256,0MB
11 Oct 21:35:54.009,11 Oct 21:35:54.110,0MB
11 Oct 21:40:55.082,11 Oct 21:40:55.183,0MB
11 Oct 21:45:56.011,11 Oct 21:45:56.212,0MB
11 Oct 21:50:57.085,11 Oct 21:50:57.186,0MB
11 Oct 21:55:58.028,11 Oct 21:55:58.229,0MB
11 Oct 22:00:59.097,11 Oct 22:00:59.197,0MB
11 Oct 22:06:00.017,11 Oct 22:06:00.219,0MB
11 Oct 22:11:01.008,11 Oct 22:11:01.209,0MB
11 Oct 22:16:02.082,11 Oct 22:16:02.183,0MB
11 Oct 22:21:03.063,11 Oct 22:21:03.164,0MB
11 Oct 22:26:04.026,11 Oct 22:26:04.127,0MB
11 Oct 22:31:05.008,11 Oct 22:31:05.109,0MB
11 Oct 22:36:06.081,11 Oct 22:36:06.282,0MB
11 Oct 22:41:07.033,11 Oct 22:41:07.435,0MB
11 Oct 22:46:08.084,11 Oct 22:46:08.587,0MB
11 Oct 22:51:09.100,11 Oct 22:51:09.201,0MB
11 Oct 22:56:10.043,11 Oct 22:56:10.344,0MB
11 Oct 23:01:11.038,11 Oct 23:01:11.239,0MB
11 Oct 23:06:12.020,11 Oct 23:06:12.221,0MB
11 Oct 23:11:13.024,11 Oct 23:11:13.125,0MB
11 Oct 23:16:14.019,11 Oct 23:16:14.120,0MB
11 Oct 23:21:15.021,11 Oct 23:21:15.222,0MB
11 Oct 23:26:16.079,11 Oct 23:26:16.180,0MB
11 Oct 23:31:17.017,11 Oct 23:31:17.218,0MB
11 Oct 23:36:18.093,11 Oct 23:36:18.294,0MB
11 Oct 23:41:19.065,11 Oct 23:41:19.267,0MB
11 Oct 23:46:20.088,11 Oct 23:46:20.188,0MB
11 Oct 23:51:21.070,11 Oct 23:51:21.170,0MB
11 Oct 23:56:22.058,11 Oct 23:56:22.159,0MB
12 Oct 00:01:23.039,12 Oct 00:01:23.140,0MB
12 Oct 00:06:24.051,12 Oct 00:06:24.152,0MB
12 Oct 00:11:25.070,12 Oct 00:11:25.171,0MB
12 Oct 00:16:26.029,12 Oct 00:16:26.230,0MB
12 Oct 00:21:27.016,12 Oct 00:21:27.117,0MB
12 Oct 00:26:28.071,12 Oct 00:26:28.172,0MB
12 Oct 00:31:29.021,12 Oct 00:31:29.121,0MB
12 Oct 00:36:30.002,12 Oct 00:36:30.103,0MB
12 Oct 00:41:31.097,12 Oct 00:41:31.298,0MB
12 Oct 00:46:32.075,12 Oct 00:46:32.276,0MB
12 Oct 00:51:33.060,12 Oct 00:51:33.161,0MB
12 Oct 00:56:34.030,12 Oct 00:56:34.131,0MB
12 Oct 01:01:35.032,12 Oct 01:01:35.234,0MB
12 Oct 01:06:36.066,12 Oct 01:06:36.167,0MB
12 Oct 01:11:37.092,12 Oct 01:11:37.193,0MB
12 Oct 01:16:38.061,12 Oct 01:16:38.262,0MB
12 Oct 01:21:39.073,12 Oct 01:21:39.375,0MB
12 Oct 01:26:40.052,12 Oct 01:26:40.253,0MB
12 Oct 01:31:41.083,12 Oct 01:31:41.285,0MB
12 Oct 01:36:42.057,12 Oct 01:36:42.258,0MB
12 Oct 01:41:43.033,12 Oct 01:41:43.134,0MB
12 Oct 01:46:44.064,12 Oct 01:46:44.266,0MB
12 Oct 01:51:45.090,12 Oct 01:51:45.190,0MB
12 Oct 01:56:46.099,12 Oct 01:56:46.200,0MB
12 Oct 02:01:47.092,12 Oct 02:01:47.293,0MB
12 Oct 02:06:48.014,12 Oct 02:06:48.215,0MB
12 Oct 02:11:49.072,12 Oct 02:11:49.274,0MB
12 Oct 02:16:50.091,12 Oct 02:16:50.291,0MB
12 Oct 02:21:51.023,12 Oct 02:21:51.325,0MB
12 Oct 02:26:52.024,12 Oct 02:26:52.125,0MB
12 Oct 02:31:53.036,12 Oct 02:31:53.136,0MB
12 Oct 02:36:54.047,12 Oct 02:36:54.148,0MB
12 Oct 02:41:55.057,12 Oct 02:41:55.158,0MB
12 Oct 02:46:56.046,12 Oct 02:46:56.246,0MB
12 Oct 02:51:57.077,12 Oct 02:51:57.279,0MB
12 Oct 02:56:58.060,12 Oct 02:56:58.161,0MB
12 Oct 03:01:59.005,12 Oct 03:01:59.205,0MB
12 Oct 03:07:00.092,12 Oct 03:07:00.192,0MB
12 Oct 03:12:01.076,12 Oct 03:12:01.177,0MB
12 Oct 03:17:02.084,12 Oct 03:17:02.486,0MB
12 Oct 03:22:03.008,12 Oct 03:22:03.109,0MB
12 Oct 03:27:04.097,12 Oct 03:27:04.198,0MB
12 Oct 03:32:05.016,12 Oct 03:32:05.117,0MB
12 Oct 03:37:06.026,12 Oct 03:37:06.227,0MB
12 Oct 03:42:07.061,12 Oct 03:42:07.262,0MB
12 Oct 03:47:08.047,12 Oct 03:47:08.148,0MB
12 Oct 03:52:09.068,12 Oct 03:52:09.270,0MB
12 Oct 03:57:10.007,12 Oct 03:57:10.108,0MB
12 Oct 04:02:11.055,12 Oct 04:02:11.156,0MB
12 Oct 04:07:12.049,12 Oct 04:07:12.150,0MB
12 Oct 04:12:13.044,12 Oct 04:12:13.246,0MB
12 Oct 04:17:14.038,12 Oct 04:17:14.139,0MB
12 Oct 04:22:15.032,12 Oct 04:22:15.132,0MB
12 Oct 04:27:16.007,12 Oct 04:27:16.208,0MB
12 Oct 04:32:17.062,12 Oct 04:32:17.464,0MB
12 Oct 04:37:18.033,12 Oct 04:37:18.234,0MB
12 Oct 04:42:19.022,12 Oct 04:42:19.123,0MB
12 Oct 04:47:20.017,12 Oct 04:47:20.218,0MB
12 Oct 04:52:21.074,12 Oct 04:52:21.175,0MB
12 Oct 04:57:22.064,12 Oct 04:57:22.265,0MB
12 Oct 05:02:23.006,12 Oct 05:02:23.308,0MB
12 Oct 05:07:24.094,12 Oct 05:07:24.195,0MB
12 Oct 05:12:25.050,12 Oct 05:12:25.151,0MB
12 Oct 05:17:26.027,12 Oct 05:17:26.229,0MB
12 Oct 05:22:27.053,12 Oct 05:22:27.153,0MB
12 Oct 05:27:28.075,12 Oct 05:27:28.176,0MB
12 Oct 05:32:29.100,12 Oct 05:32:29.200,0MB
12 Oct 05:37:30.069,12 Oct 05:37:30.170,0MB
12 Oct 05:42:31.089,12 Oct 05:42:31.190,0MB
12 Oct 05:47:32.048,12 Oct 05:47:32.149,0MB
12 Oct 05:52:33.086,12 Oct 05:52:33.187,0MB
12 Oct 05:57:34.023,12 Oct 05:57:34.124,0MB
